,Texto,línea
0,𐤀𐤍𐤊 𐤟 𐤌𐤔𐤏 𐤟 𐤁𐤍 𐤟 𐤊𐤌𐤔 ? ? 𐤌𐤋𐤊 𐤟 𐤌𐤀𐤁 𐤟 𐤄𐤃,1
1,𐤉𐤁𐤍𐤉 | 𐤀𐤁𐤉 𐤟 𐤌𐤋𐤊 𐤟 𐤏𐤋 𐤟 𐤌𐤀𐤁 𐤟 𐤔𐤋𐤔𐤍 𐤟 𐤔𐤕 𐤟 𐤅𐤀𐤍𐤊 𐤟 𐤌𐤋𐤊,2
2,[𐤕𐤉 𐤟 𐤀𐤇𐤓 𐤟 𐤀𐤁𐤉 | 𐤅𐤀𐤏𐤔 𐤟 𐤄𐤁𐤌𐤕 𐤟 𐤆𐤀𐤕 𐤟 𐤋𐤊𐤌𐤔 𐤟 𐤁𐤒𐤓𐤇𐤄 | 𐤁[𐤍𐤎 𐤟 𐤉,3
3,𐤔𐤏 𐤟 𐤊𐤉 𐤟 𐤄𐤔𐤏𐤍𐤉 𐤟 𐤌𐤊𐤋 𐤟 𐤄𐤔𐤋𐤊𐤍 𐤟 𐤅𐤊𐤉 𐤟 𐤄𐤓𐤀𐤍𐤉 𐤟 𐤁𐤊𐤋 𐤟 𐤔𐤍𐤀𐤉 | 𐤏𐤌𐤓,4
4,𐤉 𐤟 𐤌𐤋𐤊 𐤟 𐤉𐤔𐤓𐤀𐤋 𐤟 𐤅𐤉𐤏𐤍𐤅 𐤟 𐤀𐤕 𐤟 𐤌𐤀𐤁 𐤟 𐤉𐤌𐤍 𐤟 𐤓𐤁𐤍 𐤟 𐤊𐤉 𐤟 𐤉𐤀𐤍𐤐 𐤟 𐤊𐤌𐤔 𐤟 𐤁𐤀𐤓,5
5,𐤑𐤄 | 𐤅𐤉𐤇𐤋𐤐𐤄 𐤟 𐤁𐤍𐤄 𐤟 𐤅𐤉𐤀𐤌𐤓 𐤟 𐤂𐤌 𐤟 𐤄𐤀 𐤟 𐤀𐤏𐤍𐤅 𐤟 𐤀𐤕 𐤟 𐤌𐤀𐤁 𐤟 | 𐤁𐤉𐤌𐤉 𐤟 𐤀𐤌𐤓 𐤟 𐤊,6
6,[𐤅𐤀𐤓𐤀 𐤟 𐤁𐤄 𐤟 𐤅𐤁𐤁𐤕𐤄 | 𐤅𐤉𐤔𐤓𐤀𐤋 𐤟 𐤀𐤁𐤃 𐤟 𐤀𐤁𐤃 𐤟 𐤏𐤋𐤌 𐤟 𐤅𐤉𐤓𐤔 𐤟 𐤏𐤌𐤓𐤉 𐤟 𐤀𐤕 𐤟 [𐤀𐤓,7
7,𐤑 𐤟 𐤌𐤄𐤃𐤁𐤀 | 𐤅𐤉𐤔𐤁 𐤟 𐤁𐤄 𐤟 𐤉𐤌𐤄 𐤟 𐤅𐤇𐤑𐤉 𐤟 𐤉𐤌𐤉 𐤟 𐤁𐤍𐤄 𐤟 𐤀𐤓𐤁𐤏𐤍 𐤟 𐤔𐤕 𐤟 𐤅𐤉𐤔,8
8,𐤁𐤄 𐤟 𐤊𐤌𐤔 𐤟 𐤁𐤉𐤌𐤉 | 𐤅𐤀𐤁𐤍 𐤟 𐤀𐤕 𐤟 𐤁𐤏𐤋𐤌𐤏𐤍 𐤟 𐤅𐤀𐤏𐤔 𐤟 𐤁𐤄 𐤟 𐤄𐤀𐤔𐤅𐤇 𐤟 𐤅𐤀𐤁𐤍,9
9,𐤀𐤕 𐤟 𐤒𐤓𐤉𐤕𐤍 | 𐤅𐤀𐤔 𐤟 𐤂𐤃 𐤟 𐤉𐤔𐤁 𐤟 𐤁𐤀𐤓𐤑 𐤟 𐤏𐤈𐤓𐤕 𐤟 𐤌𐤏𐤋𐤌 𐤟 𐤅𐤉𐤁𐤍 𐤟 𐤋𐤄 𐤟 𐤌𐤋𐤊 𐤟𐤉,10
10,[ 𐤔𐤓𐤀𐤋 𐤟 𐤀𐤕 𐤟 𐤏𐤈𐤓𐤕 | 𐤅𐤀𐤋𐤕𐤇𐤌 𐤟 𐤁𐤒𐤓 𐤟 𐤅𐤀𐤇𐤆𐤄 | 𐤅𐤀𐤄𐤓𐤂 𐤟 𐤀𐤕 𐤟 𐤊𐤋 𐤟𐤄𐤏𐤌 𐤟 [𐤌,11
11,[𐤄𐤒𐤓 𐤟 𐤓𐤉𐤕 𐤟 𐤋𐤊𐤌𐤔 𐤟 𐤅𐤋𐤌𐤀𐤁 | 𐤅𐤀𐤔𐤁 𐤟 𐤌𐤔𐤌 𐤟 𐤀𐤕 𐤟 𐤀𐤓𐤀𐤋 𐤟 𐤃𐤅𐤃𐤄 𐤟 𐤅𐤀[𐤎,12
12,𐤇𐤁𐤄 𐤟 𐤋𐤐𐤍𐤉 𐤟 𐤊𐤌𐤔 𐤟 𐤁𐤒𐤓𐤉𐤕 | 𐤅𐤀𐤔𐤁 𐤟 𐤁𐤄 𐤟 𐤀𐤕 𐤟 𐤀𐤔 𐤟 𐤔𐤓𐤍 𐤟 𐤅𐤀𐤕 𐤟 𐤀𐤔,13
13,𐤌𐤇𐤓𐤕 | 𐤅𐤉𐤀𐤌𐤓 𐤟 𐤋𐤉 𐤟 𐤊𐤌𐤔 𐤟 𐤋𐤊 𐤟 𐤀𐤇𐤆 𐤟 𐤀𐤕 𐤟 𐤍𐤁𐤄 𐤟 𐤏𐤋 𐤟 𐤉𐤔𐤓𐤀𐤋 | 𐤅𐤀,14
14,𐤄𐤋𐤊 𐤟 𐤁𐤋𐤋𐤄 𐤟 𐤅𐤀𐤋𐤕𐤇𐤌 𐤟 𐤁𐤄 𐤟 𐤌𐤁𐤒𐤏 𐤟 𐤄𐤔𐤇𐤓𐤕 𐤟 𐤏𐤃 𐤟 𐤄𐤑𐤄𐤓𐤌 | 𐤅𐤀𐤇,15
15,[𐤆 𐤟 𐤅𐤀𐤄𐤓𐤂 𐤟 𐤊𐤋𐤄 𐤟 𐤔𐤁𐤏𐤕 𐤟 𐤀𐤋𐤐𐤍 𐤟 𐤂[𐤁]𐤓𐤍 𐤟 𐤅𐤂𐤓𐤍 | 𐤅𐤂𐤁𐤓𐤕 𐤟 𐤅[𐤂𐤓,16
16,[𐤕 𐤟 𐤅𐤓𐤇𐤌𐤕 | 𐤊𐤉 𐤟 𐤋𐤏𐤔𐤕𐤓 𐤟 𐤊𐤌𐤔 𐤟 𐤄𐤇𐤓𐤌𐤕𐤄 | 𐤅𐤀𐤒𐤇 𐤟 𐤌𐤔𐤌 𐤟 𐤀[𐤕 𐤟 𐤊,17
17,𐤋𐤉 𐤟 𐤉𐤄𐤅𐤄 𐤟 𐤅𐤀𐤎𐤇𐤁 𐤟 𐤄𐤌 𐤟 𐤋𐤐𐤍𐤉 𐤟 𐤊𐤌𐤔 | 𐤅𐤌𐤋𐤊 𐤟 𐤉𐤔𐤓𐤀𐤋 𐤟 𐤁𐤍𐤄 𐤟 𐤀𐤕,18
18,[𐤉𐤄𐤑 𐤟 𐤅𐤉𐤔𐤁 𐤟 𐤁𐤄 𐤟 𐤁𐤄𐤋𐤕𐤇𐤌𐤄 𐤟 𐤁𐤉 | 𐤅𐤉𐤂𐤓𐤔𐤄 𐤟 𐤊𐤌𐤔 𐤟 𐤌𐤐𐤍[𐤉 𐤅,19
19,𐤟 𐤀𐤒𐤇 𐤟 𐤌𐤌𐤀𐤁 𐤟 𐤌𐤀𐤕𐤍 𐤟 𐤀𐤔 𐤟 𐤊𐤋 𐤟 𐤓𐤔𐤄 | 𐤅𐤀𐤔𐤀𐤄 𐤟 𐤁𐤉𐤄𐤑 𐤟 𐤅𐤀𐤇𐤆𐤄,20
20,𐤋𐤎𐤐𐤕 𐤟 𐤏𐤋 𐤟 𐤃𐤉𐤁𐤍 | 𐤀𐤍𐤊 𐤟 𐤁𐤍𐤕𐤉 𐤟 𐤒𐤓𐤇𐤄 𐤟 𐤇𐤌𐤕 𐤟 𐤄𐤉𐤏𐤓𐤍 𐤟 𐤅𐤇𐤌𐤕,21
21,𐤄𐤏𐤐𐤋 | 𐤅𐤀𐤍𐤊 𐤟 𐤁𐤍𐤕𐤉 𐤟 𐤔𐤏𐤓𐤉𐤄 𐤟 𐤅𐤀𐤍𐤊 𐤟 𐤁𐤍𐤕𐤉 𐤟 𐤌𐤂𐤃𐤋𐤕𐤄 | 𐤅𐤀,22
22,𐤍𐤊 𐤟 𐤁𐤍𐤕𐤉 𐤟 𐤁𐤕 𐤟 𐤌𐤋𐤊 𐤟 𐤅𐤀𐤍𐤊 𐤟 𐤏𐤔𐤕𐤉 𐤟 𐤊𐤋𐤀𐤉 𐤟 𐤄𐤀𐤔[𐤅𐤇 𐤟 𐤋𐤌]𐤉𐤍 𐤟 𐤁𐤒𐤓𐤁,23
23,𐤄𐤒𐤓 | 𐤅𐤁𐤓 𐤟 𐤀𐤍 𐤟 𐤁𐤒𐤓𐤁 𐤟 𐤄𐤒𐤓 𐤟 𐤁𐤒𐤓𐤇𐤄 𐤟 𐤅𐤀𐤌𐤓 𐤟 𐤋𐤊𐤋 𐤟 𐤄𐤏𐤌 𐤟 𐤏𐤔𐤅 𐤟 𐤋,24
24,𐤊𐤌 𐤟 𐤀𐤔 𐤟 𐤁𐤓 𐤟 𐤁𐤁𐤉𐤕𐤄 | 𐤅𐤀𐤍𐤊 𐤟 𐤊𐤓𐤕𐤉 𐤟 𐤄𐤌𐤊𐤓𐤕𐤕 𐤟 𐤋𐤒𐤓𐤇𐤄 𐤟 𐤁𐤀𐤎𐤓,25
25,𐤟 𐤉] 𐤟 𐤉𐤔𐤓𐤀𐤋 | 𐤀𐤍𐤊 𐤟 𐤁𐤍𐤕𐤉 𐤟 𐤏𐤓𐤏𐤓 𐤟 𐤅𐤀𐤍𐤊 𐤟 𐤏𐤔𐤕𐤉 𐤟 𐤄𐤌𐤎𐤋𐤕 𐤟 𐤁𐤀𐤓𐤍𐤍],26
26,𐤟 𐤀𐤍𐤊 𐤟 𐤁𐤍𐤕𐤉 𐤟 𐤁𐤕 𐤟 𐤁𐤌𐤕 𐤟 𐤊𐤉 𐤟 𐤄𐤓𐤎 𐤟 𐤄𐤀 | 𐤀𐤍𐤊 𐤟 𐤁𐤍𐤕𐤉 𐤟 𐤁𐤑𐤓 𐤟 𐤊𐤉 𐤟 𐤏𐤉𐤍,27
